# curie_map:
#   chebi: http://purl.obolibrary.org/obo/CHEBI_
#   faldo: http://biohackathon.org/resource/faldo#
#   geno: http://purl.obolibrary.org/obo/GENO_
#   gfvo: https://github.com/BioInterchange/Ontologies/gfvo#
#   gvo: http://genome-variation.org/resource/gvo#
#   hero: https://w3id.org/hereditary/ontology/genomics/schema/
#   med2rdf: http://med2rdf.org/ontology/med2rdf#
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sio: http://semanticscience.org/resource/SIO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   so: http://purl.obolibrary.org/obo/SO_
#   sssom: https://w3id.org/sssom/
#   vcfc: https://w3id.org/vcf-core/vocab#
#   vrs: https://w3id.org/ga4gh/schema/vrs/2.0/json/
#   vrs1: https://w3id.org/ga4gh/schema/vrs/1.3/json/
# mapping_set_id: https://w3id.org/vcf-core/alignments
# mapping_set_title: VCF Core Vocabulary: external alignments
# mapping_set_description: The single curated record of every alignment vcf-core asserts against an external vocabulary. This file is the source of truth: vcf-core-alignments.ttl is generated from it by scripts/build-mapping-sets.py. Rows commented 'Also asserted inline in the vcf-core ontology modules' are additionally present in ontology/*.ttl and reach anyone loading the bundle; the rest reach only those who load the alignment module.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: manual curation
# subject_source: https://w3id.org/vcf-core/vocab
# subject_source_version: 2.1.0
# comment: vrs: is GA4GH VRS 2.0, the version this vocabulary targets. vrs1: is VRS 1.3 and appears only in the bh25/ sets, whose curators worked against VRS 1.2/1.3; several terms they mapped to (Genotype, Haplotype, SequenceInterval, ChromosomeLocation, Text, Gene, Feature, UtilityVariation) were removed in 2.0.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	mapping_date	author_id
vcfc:Allele	VCF allele	skos:closeMatch	vrs:Allele		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:Breakend	breakend	skos:relatedMatch	so:0001021		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ContigHeaderLine	contig header line	skos:relatedMatch	vrs:SequenceReference		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventBalancedTranslocation	TRA:BALANCED event type	skos:exactMatch	so:1000048		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventChromothripsis	CHROMOTHRIPSIS event type	skos:closeMatch	so:0002062		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventDeletion	DEL event type	skos:exactMatch	so:0000159		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventDuplication	DUP event type	skos:exactMatch	so:1000035		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventInsertion	INS event type	skos:exactMatch	so:0000667		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventInversion	INV event type	skos:exactMatch	so:1000036		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventMobileElementDeletion	DEL:ME event type	skos:exactMatch	so:0002066		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventMobileElementInsertion	INS:ME event type	skos:exactMatch	so:0001837		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventTandemDuplication	DUP:TANDEM event type	skos:exactMatch	so:1000173		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:EventTranslocation	TRA event type	skos:exactMatch	so:0000199		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:FormatFieldValue	FORMAT field value	skos:relatedMatch	hero:Genotype		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:Genotype	VCF genotype	skos:closeMatch	geno:0000536		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:InfoFieldValue	INFO field value	skos:relatedMatch	hero:VariantLevelData		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:PhaseSet	phase set	skos:closeMatch	geno:0000886		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:PhaseSet	phase set	skos:closeMatch	vrs:CisPhasedBlock		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5caC	Format M5caC reserved field definition	skos:exactMatch	chebi:76793		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5caU	Format M5caU reserved field definition	skos:exactMatch	chebi:17477		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5fC	Format M5fC reserved field definition	skos:exactMatch	chebi:76794		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5fU	Format M5fU reserved field definition	skos:exactMatch	chebi:80961		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5hmC	Format M5hmC reserved field definition	skos:exactMatch	chebi:76792		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5hmU	Format M5hmU reserved field definition	skos:exactMatch	chebi:16964		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M5mC	Format M5mC reserved field definition	skos:exactMatch	chebi:27551		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M6mA	Format M6mA reserved field definition	skos:exactMatch	chebi:28871		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_M8oxoG	Format M8oxoG reserved field definition	skos:exactMatch	chebi:44605		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:ReservedFormat_MXaoN	Format MXaoN reserved field definition	skos:exactMatch	chebi:18107		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SampleCall	sample call	skos:closeMatch	hero:Genotype		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SampleCall	sample call	skos:relatedMatch	hero:Zygosity		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicCopyNumberVariation	CNV symbolic allele type	skos:exactMatch	so:0001019		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicDeletion	DEL symbolic allele type	skos:exactMatch	so:0000159		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicDuplication	DUP symbolic allele type	skos:exactMatch	so:1000035		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicInsertion	INS symbolic allele type	skos:exactMatch	so:0000667		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicInversion	INV symbolic allele type	skos:exactMatch	so:1000036		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicMobileElementDeletion	DEL:ME symbolic allele subtype	skos:exactMatch	so:0002066		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
vcfc:SymbolicMobileElementInsertion	INS:ME symbolic allele subtype	skos:exactMatch	so:0001837		semapv:ManualMappingCuration		Also asserted inline in the vcf-core ontology modules.		
